Company,Violation,Date,Action,Case Number,Link
"Empire Title Services, Inc",Lack of Fitness/Trustworthiness,2012-03-14,"$1,000 Fine & 6 Months Probation",10883-AG12-0118-009,https://www.in.gov/idoi/files/enforcement/10883%20empire%20title%20fo_001.pdf
"Employee Benefit Managers of America, Inc.",Consent Order,2006-02-17,"$200,000 Fine",3253-IDOI-CO04-004,https://www.in.gov/idoi/files/enforcement/3253-IDOI-CO04-004b.pdf
"Empower Settlement Services, LLC",Failure  to enter RREAL transactions into database,2023-11-02,$1640.00 Civil Penalty,22441-AG23-0726-113,https://www.in.gov/idoi/files/enforcement/22441-AG23-0726-113.pdf
"Equity Settlement Services, Inc",Failed  to Enter Transactions into RREAL IN,2018-05-18,"$3,850  Fine",16934-AG18-0326-038,https://www.in.gov/idoi/files/enforcement/16934-AG18-0326-038.pdf
"Exact Loss Consulting, Inc.",Misrepresentation,2021-12-09,Emergency  Cease & Desist Order.,21123-PA21-1209-003,https://www.in.gov/idoi/files/enforcement/21123-PA21-1209-003b.pdf
"Expert Title Services of Indiana, LLP",Change of Address Violation,2009-07-28,$500 Civil Penalty,7469-AG09-0428-081,https://www.in.gov/idoi/files/enforcement/expert%20title%207469.pdf
"F.T.P., LLC",Failure  to submit list of appointments,2007-09-10,License  Suspension,5611-AG07-0827-224,https://www.in.gov/idoi/files/enforcement/5611-AG07-0827-224c.pdf
Federated Mutual Insurance Company,Unfair  Claims,2009-09-03,"$256,544.67 Restitution",5888-CO08-0328-006,https://www.in.gov/idoi/files/enforcement/5888%20federated%20fo_001.pdf
"Fidelity National Title Company, LLC",Employed  Non-Licensed Agent,2014-12-19,"Administrative  Penalty $30,000.00",12927-AG14-1007-181,https://www.in.gov/idoi/files/enforcement/12927-AG14-1007-181b.pdf
Financial West Investment Group,Failure to Report Other States Action,2011-03-18,"$2,000 Administrative Fine",9374-AG11-0208-022,https://www.in.gov/idoi/files/enforcement/9374%20financial%20west%20fo_001.pdf
"First Advantage Title, LLC",Failure  to enter Real Estate transactions into RREAL IN database,2019-10-25,$7500.00  Civil Penalty,18278-AG19-0731-101,https://www.in.gov/idoi/files/enforcement/18278-AG19-0731-101.pdf
"First Commonwealth Insurance Agency, Inc.",Failure  to timely report Other states action,2020-12-17,$1000.00  Civil Penalty,19799-AG20-1006-182,https://www.in.gov/idoi/files/enforcement/19799-AG20-1006-182.pdf
First Title & Escrow Inc.,Other  States Action,2018-01-12,$250  Fine,16811-AG17-1221-237,https://www.in.gov/idoi/files/enforcement/16811-AG17-1221-237.pdf
"First Title & Escrow, Inc.",Failure  to Input into RREAL IN Database,2021-03-04,$3080.00  Civil Penalty,19902-AG20-1210-216,https://www.in.gov/idoi/files/enforcement/19902-AG20-1210-216.pdf
"First Title of Indiana, Inc.",Misappropriation  of Premium,2014-06-03,License  permanently Revoked,12595-CO14-0206-001,https://www.in.gov/idoi/files/enforcement/12595-CO14-0206-001b.pdf
"FNC Title Services, LLC",Failure  to Enter RREAL IN into database,2018-10-15,"$1,670  Fine",17279-AG18-0912-144,https://www.in.gov/idoi/files/enforcement/17279-AG18-0912-144.pdf
Fort Wayne Title Company,Non Cooperation of Market Conduct Exam,2009-11-04,Emergency Cease & Desist Order,7384-AG09-1102-227,https://www.in.gov/idoi/files/enforcement/7384%20emergency%20sus%20order.pdf
"Foundation Title Company, LLC.",Agency Exam,2010-09-21,Permanent Revocation of License,9504-AG10-0819-131,https://www.in.gov/idoi/files/enforcement/9504%20foundation%20culler%20%20_001.pdf
Founders Insurance Company,Unfair  Claims,2007-12-04,$5000.00  Fine,6184-CO07-1017-011,https://www.in.gov/idoi/files/enforcement/6184-CO07-1017-011b.pdf
"Freedom 7, LLC",Unauthorized  Insurance Business,2007-04-12,Cease  & Desist Order,3323-AG07-0327-110,https://www.in.gov/idoi/files/enforcement/3323-AG07-0327-110g.pdf
"Freedom Title Company, Inc.",Employed  Non-Licensed Agent,2011-11-01,$250.00  fine,10599-AG11-1003-132,https://www.in.gov/idoi/files/enforcement/10599-AG11-1003-132b.pdf
"Global Partners, Ltd.",Lack of Fitness/Trustworthiness,2011-08-09,Emergency Cease & Desist Order.,8545-AG11-0808-103,https://www.in.gov/idoi/files/enforcement/8545%20clark%20brown%20cd_001.pdf
"Graham Group West, Inc.",Failure  to Disclose,2016-12-08,$250  Fine,15560-AG16-0825-160,https://www.in.gov/idoi/files/enforcement/15560-AG16-0825-160.pdf
"Green County Abstract Co., Inc.",No  License,2014-09-14,Cease  & Desist Order,11814-CO14-0321-003,https://www.in.gov/idoi/files/enforcement/11814-CO14-0321-003.pdf
"Greene County Abstract Company, Inc.",Lack of Fitness/Trustworthiness,2012-09-06,$250 Administrative Fine,11063-AG12-0529-059,https://www.in.gov/idoi/files/enforcement/11063%20greene%20co%20fo.pdf
"Group Underwirters Agency, Inc.",Criminal  History and Other states action,2020-01-31,Non-Renewal,18867-AG20-0122-019,https://www.in.gov/idoi/files/enforcement/18867-AG20-0122-019.pdf
"Guardian Equity Services, LLC",Non  Compliance,2008-08-29,$250.00  fine,5641-AG08-0821-239,https://www.in.gov/idoi/files/enforcement/5641-AG08-0821-239b.pdf
"Guardians for Living, LLC",Unauthorized  Insurance Business,2007-04-12,Cease  & Desist Order,3323-AG07-0327-110,https://www.in.gov/idoi/files/enforcement/3323-AG07-0327-110j.pdf
GWN Securities Inc.,Other  States Action,2018-01-12,$250  Fine,16808-AG17-1227-239,https://www.in.gov/idoi/files/enforcement/16808-AG17-1227-239.pdf
"Hale Abstract Company, Inc.",Operating Without A License,2010-09-13,$250 Civil Penalty,8410-AG10-0806-125,https://www.in.gov/idoi/files/enforcement/8410%20hale%20abstract%20fo_001.pdf
Hammond National Company Inc.,Misappropriation  of Premium,2018-12-17,Probation  Order Until Restitution is Paid,16866-AG18-0215-023,https://www.in.gov/idoi/files/enforcement/16866-AG18-0215-023HNC.pdf
"Harley-Davidson Insurance Service, Inc.",Agent not licensed,2008-10-02,"Admin. Penalty of $17,500",6301-AG08-0730-230,https://www.in.gov/idoi/files/enforcement/6301_FO(2).pdf
HBI Title Services,Failure  to enter RREAL Transactions,2014-05-02,"$27,520 Civil Penalty",11844-AG13-1016-123,https://www.in.gov/idoi/files/enforcement/11844%20HBI%20title.pdf
"Health Benefits One, LLC",Lack of  Fitness/Trustworthiness,2019-06-21,Emergency  Suspension Order,17774-AG18-1121-169,https://www.in.gov/idoi/files/enforcement/17774-AG18-1121-169c.pdf
"Healthcare Casualty of America, Inc",Non  Licensed Entity,2006-04-18,Cease  & Desist Order from acting as insurer,3227-AG06-0323-043,https://www.in.gov/idoi/files/enforcement/3227-AG06-0323-043b.pdf
Heathergrey Corp.,Failure  to timely submit Admin. Actions,2021-05-26,$500.00  fine,19831-AG20-1014-188,https://www.in.gov/idoi/files/enforcement/19831-AG20-1014-188.pdf
"Home Closings, Inc.",Hired  agent w/expired license,2013-08-15,$250.00  Civil Penalty,11969-AG13-0802-088,https://www.in.gov/idoi/files/enforcement/11969-AG13-0802-088b.pdf
"Homeland Healthcare Agency, Inc.",Failure to Disclose on License Application,2012-01-26,$500 Administrative Fine,10853-AD12-0110-008,https://www.in.gov/idoi/files/enforcement/10853%20homeland%20fo_001.pdf
"Homestead Title Agency, Ltd",Employed  Non-Licensed Agent,2013-05-15,$250  Civil Penalty,11970-CO13-0506-011,https://www.in.gov/idoi/files/enforcement/11970%20homestead%20title.pdf
"Hoosier Hills Credit Union Serv. Org., LLC  dba Hoosier Hills Title Company",Expired  Producer License,2017-05-12,Administrative  Penalty $6259.00,16055-AG17-0417-075,https://www.in.gov/idoi/files/enforcement/16055-AG17-0417-075b.pdf
Household Life Insurance Company,Unfair  Claims,2008-07-31,$500.00  Fine,6773-CO08-0501-010,https://www.in.gov/idoi/files/enforcement/6773-CO08-0501-010b.pdf
"HR Trust Services, LLC/HR Trust Benefits/HR  Truust Assurance",Unauthorized  Entity,2007-10-23,Cease  and Desist,5196-AG07-1010-272,https://www.in.gov/idoi/files/enforcement/5196-AG07-1010-272b.pdf
"Huco, Inc.",Misappropriation  of Premiums,2000-12-19,Permanent  Revocation of License,212-IDOI-AG00-098,https://www.in.gov/idoi/files/enforcement/212-IDOI-AG00-098b.pdf
"Independent Fianacial Group, Inc.",Other  states action,2022-03-07,$500.00  Civil Penalty/2 Year Probation/Submit list of appointments every 6 months,21064-AG22-0118-010,https://www.in.gov/idoi/files/enforcement/21064-AG22-0118-010.pdf
"Indiana Home Title, LLC",Failure  to timely report real estate into RREAL database,2021-01-18,$4730.00  fine,19402-AG20-0623-101,https://www.in.gov/idoi/files/enforcement/19402-AG20-0623-101.pdf
Indiana Title Network Company,Failure  to enter RREAL transactions into database,2017-03-10,Administrative  Penalty $6692.00,15885-AG17-0209-049,https://www.in.gov/idoi/files/enforcement/15885-AG17-0209-049b.pdf
"Indiana Title Services, LLC",Failure to Report in RREAL,2012-10-11,$1052 Civil Penalty,11138-AG12-0529-060,https://www.in.gov/idoi/files/enforcement/11138%20in%20title%20svcs%20fo.pdf
"IndyLegal Title Services, LLC",Failed  to report 266 transactions in RREAL,2022-10-26,$3060  civil penalty,21655-AG22-0802-133,https://www.in.gov/idoi/files/enforcement/21655-AG22-0802-133.pdf
Ins Specialty GroupLLC,failed  to report administrative action,2016-04-29,Fine  $250,15083-AG16-0411-093,https://www.in.gov/idoi/files/enforcement/15083-AG16-0411-093.pdf
"Insgroup, Inc.",Failure  to report Administrative Actions in a timely manner,2020-06-20,$750.00  Civil Penalty,19162-AG20-0309-048,https://www.in.gov/idoi/files/enforcement/19162-AG20-0309-048.pdf
"Insurance Concepts, Inc.",Issued  False Certificates of Insurance,2007-01-10,$500.00  Fine,3586-AG06-1016-149,https://www.in.gov/idoi/files/enforcement/3586-AG06-1016-149b.pdf
"Insurance Solutions, Inc.",Misappropriation  of Premiums,2006-07-17,$600.00  fine,3371-AG06-0523-013,https://www.in.gov/idoi/files/enforcement/3371-AG06-0523-013b.pdf
"Insure On The Spot Services, Inc.",Unsafe  Insurance Practices,2013-06-12,Cease  & Desist Order Pay $2500.00 Fine and 2 Years Probation,11989-AG13-0528-039,https://www.in.gov/idoi/files/enforcement/11989-AG13-0528-039c.pdf
"Insured Title Agency, LLC",No  License,2015-02-13,$500.00  Fine,12988-AG14-0528-107,https://www.in.gov/idoi/files/enforcement/12988-AG14-0528-107b.pdf
"Integrity Title Agency of Indiana, Inc.",Failure  to Provide List of Appointments,2007-09-10,License  Suspension,5600-AG07-0827-232,https://www.in.gov/idoi/files/enforcement/5600-AG07-0827-232b.pdf
Intercontinental Holdings LLC,Surplus  Lines Tax Violation,2017-01-27,Suspension  order,15939-AG17-0109-033,https://www.in.gov/idoi/files/enforcement/15939-AG17-0109-033.pdf
International Med-Care aka IMC,No  License,2011-11-21,Emergency  Cease & Desist Order.,5083-AG08-1113-280,https://www.in.gov/idoi/files/enforcement/5083-AG08-1113-280b.pdf
Investers Title Corp.,Lack of Fitness/Trustworthiness,2013-06-06,Investors  shall voluntarily surrender resident producer organization license,11268-AG12-0419-028,https://www.in.gov/idoi/files/enforcement/11268%20investers%20title.pdf
"Ironshore Insurance Services, LLC",Failure  to submit list of appointments,2021-09-16,Suspension  Lifted,20661-AG21-0805-156,https://www.in.gov/idoi/files/enforcement/20661-AG21-0805-156b.pdf
Jardine Lloyd Thompson Ins. Services Inc.,Failed  to Provide Semi-Annual Report & Appointments,2017-08-24,$250  Fine,16235-AG17-0510-111,https://www.in.gov/idoi/files/enforcement/16235-AG17-0510-111.pdf
"JCLT, LLC",Failure  to Issue the Final Insurance Policy Within 45 Days of Closing,2016-09-30,Administrative  Penalty $500.00,15543-AG16-0909-174,https://www.in.gov/idoi/files/enforcement/15543-AG16-0909-174b.pdf
"Joany, Inc.",Other  states action,2020-11-05,License  Permanently Revoked,18820-AG20-0225-037,https://www.in.gov/idoi/files/enforcement/18820-AG20-0225-037b.pdf
John Alden Life Insurance Company,Market Conduct Exam,2012-05-09,"$2,750,000 Restitution; $200,000 Administrative  fine",11325-A-MC12-0516-048,https://www.in.gov/idoi/files/enforcement/11325%20assurant%20mc%20exam%20%20settlement_201206271454.pdf
"Jones & Wenner Insurance Agency, Inc.",Surplus  Lines Violation,2015-09-17,Lift of  Suspension order,13750-AG15-030-068,https://www.in.gov/idoi/files/enforcement/13750-AG15-0303-068c.pdf
"Joseph A. Morris & Associates, LLC",Revoked  Agent holding Agency Licensing,2007-01-24,Permanent  Surrender of License & $65.00 to cover NSF check.,3428-AG06-0606-082,https://www.in.gov/idoi/files/enforcement/3428-AG06-0606-082b.pdf
"JT Group, Inc.",Market  Conduct Exam,2006-03-24,$2500.00  cost-Market Conduct Exam/Agency License permanently Revoked,3124-AG05-1230-162,https://www.in.gov/idoi/files/enforcement/3124-AG05-1230-162b.pdf
"Kendrick Title and Escrow, LLC",Failure to Submit List of Appointments,2009-03-31,Suspension of License,7734-AG09-0309-057,https://www.in.gov/idoi/files/enforcement/7734%20sus%20order.pdf
"Kentuckiana Title Agency, LLC",Overcharging  customers on TIEFF fees,2020-03-13,$6819  civil penalty,18429-AG19-1220-207,https://www.in.gov/idoi/files/enforcement/18429-AG19-1220-207.pdf
Kentucky Title Services,Unlicensed  Individual,2014-03-07,$750  Civil Penalty,12350-AG13-0623-066,https://www.in.gov/idoi/files/enforcement/12350%20kentucky%20title.pdf
"Kingbird Title, LLC",Non-Compliance,2008-01-22,$400.00  Fine,5634-AG07-0725-172,https://www.in.gov/idoi/files/enforcement/5634-AG07-0725-172b.pdf
"Lake Region Title Insurance Company, LLC",Failure  to enter RREAL IN,2015-02-13,$1625  Civil Penalty,13524-AG15-0123-012,https://www.in.gov/idoi/files/enforcement/13524%20lake%20region.pdf
"Lakeland Title Company, Inc.",Failure  to Issue the Final Insurance Policy Within 45 Days of Closing,2016-07-22,Fine  $2000.00,15375-AG16-0623-133,https://www.in.gov/idoi/files/enforcement/15375-AG16-0623-133b.pdf
"LandQuest Title Group, LLC",Employed  Non-Licensed Individual,2013-07-02,$500  Civil Penalty,12032-AG13-0606-044,https://www.in.gov/idoi/files/enforcement/12032%20land%20quest.pdf
Languell Abstract & Title Corporation,Failure  to Enter RREAL IN into database,2018-12-17,"$2,275  Fine",17652-AG18-1105-161,https://www.in.gov/idoi/files/enforcement/17652-AG18-1105-161.pdf
Lawyers Title Insurance Corporation,Not  appointed,2007-09-11,$5000.00  fine,5850-CO07-0719-005,https://www.in.gov/idoi/files/enforcement/5850-CO07-0719-005b.pdf
"Legacy Title Company, LLC",Over  Charge Consumers,2021-09-16,Restitution  of Overcharges/$3488.74 Civil Penalty $5334.00,20256-AG21-0514-103,https://www.in.gov/idoi/files/enforcement/20256-AG21-0514-103.pdf
Lenders Title Solutions LLC,Failure  to input Real-Estate policies into the RREAL-IN database,2018-08-30,"$10,000  Fine",17240-AG18-0803-130,https://www.in.gov/idoi/files/enforcement/17240-AG18-0803-130.pdf
"Liberty Insurance Agency, LLC",Unauthorized  Insurance Business,2007-04-12,Cease  & Desist Order,3323-AG07-0327-110,https://www.in.gov/idoi/files/enforcement/3323-AG07-0327-110m.pdf
Liberty Life Insurance Company,Race-Based  Settlement,2003-06-10,$3931.39  fine,1740-IDOI-CO03-002,https://www.in.gov/idoi/files/enforcement/1740-IDOI-CO03-002b.pdf
Liberty Mutual Insurance Company,Unfair  Claim Practices,2019-08-01,$5000.00  Civil Penalty,17765-AG19-0314-034,https://www.in.gov/idoi/files/enforcement/17765-AG19-0314-034.pdf
Lincoln Memorial Life Insurance Company,Liquidation,2008-04-11,Suspension,6703,https://www.in.gov/idoi/files/enforcement/6703b.pdf
"Lone Rock Capital Partners, LLC",Embezzlement,2018-06-28,License  Permanently Revoked,17038-AG18-0326-040,https://www.in.gov/idoi/files/enforcement/17038-AG18-0326-040.pdf
"Lorch Naville Ward, LLC",Agency  Expired License,2014-03-07,$500.00  Civil fine,12407-AG13-1011-121,https://www.in.gov/idoi/files/enforcement/12407-AG13-1011-121b.pdf
"M.A.T Insurance, LLC",Lack of Fitness/Trustworthiness,2009-03-09,$2500 Administrative Fine/ $500 Restitution,7650-AG09-0211-039,https://www.in.gov/idoi/files/enforcement/7650_001.pdf
"Madison Settlement Services, LLC",Failure  to timely report RREAL in data base,2021-08-20,$1120.00  Civil Penalty,20376-AG21-0517-104,https://www.in.gov/idoi/files/enforcement/20376-AG21-0517-104.pdf
"Magnum Insurance Agency, Inc.",Marketing  and Sales,2008-09-18,License  Permanently Revoked,3029-AG08-0317-084,https://www.in.gov/idoi/files/enforcement/3029-AG08-0317-084b.pdf
"Master Trustee, LLC",Unauthorized  Insurance Business,2004-04-12,Cease  & Desist Order,3323-AG07-0327-110,https://www.in.gov/idoi/files/enforcement/3323-AG07-0327-110n.pdf
Mattingly & Hanson Title Solutions dba  Hastings and Allen Land Title Agency,Failure  to Issue the Final Insurance Policy Within 45 Days of Closing,2016-11-18,Administrative  Penalty $500.00,15663-AG16-1024-191,https://www.in.gov/idoi/files/enforcement/15663-AG16-1024-191b.pdf
"MBA, Inc.",Unauthorized  Insurance Business,2007-04-12,Cease  & Desist Order,3323-AG07-0327-110,https://www.in.gov/idoi/files/enforcement/3323-AG07-0327-110p.pdf
"McCormick Insurance Agency, Inc.",Failure  to submit list of appointments,2020-10-29,Suspension  lifted,19559-AG20-0827-151,https://www.in.gov/idoi/files/enforcement/19559-AG20-0827-151B.pdf
Memberselect Insurance Co.,Claim Handling,2009-03-09,"$1,000 Civil Penalty",7670-CO09-0129-001,https://www.in.gov/idoi/files/enforcement/7670%20fo_001.pdf
Meridian Security Insurance Company,Use of Credit Information,2009-09-11,$5000 Administrative Fine,8532-CO09-0825-014,https://www.in.gov/idoi/files/enforcement/8532%20liberty%20mut%20fo_001.pdf
"Metro Title, LLC",Employing  Unlicensed Individual,2014-02-21,$500  Civil Penalty,12585-AG14-0109-004,https://www.in.gov/idoi/files/enforcement/12585%20metro%20title.pdf
"Metropolitan Title of Indiana, LLC",Failure  to enter RREAL IN,2015-03-06,$6520  Fine,13529-AG15-0129-017,https://www.in.gov/idoi/files/enforcement/13529%20metropolitan.pdf
"Mexipass International Insurance Services,  LLC",Surplus  Lines Tax Violation,2015-03-06,License  Suspended,13718-AG15-0303-055,https://www.in.gov/idoi/files/enforcement/13718%20mexipass.pdf
"Meymex Title Agency of Ohio, LLC",Fail to  Timely Report Administrative Action,2016-08-25,$250  Fine,15108-AG16-0606-127,https://www.in.gov/idoi/files/enforcement/15108-AG16-0606-127.pdf
"MF Title, Inc.",Employed  Non-Licensed Agent,2015-01-09,Administrative  Penalty $1036.00,12587-AG14-0915-164,https://www.in.gov/idoi/files/enforcement/12587-AG14-0915-164b.pdf
Mid-Century Insurance Company,Failure to Pay Tax,2012-02-07,"$5,000 Administrative Fine",10945-CO12-0117-005,https://www.in.gov/idoi/files/enforcement/10945%20mid%20century%20fo_001.pdf
"Midwest Financial Services, LLC",Misappropriation of Premium,2011-06-16,Permanent Revocation of License,10119-AG11-0222-038,https://www.in.gov/idoi/files/enforcement/10119%20midwest%20fin%20fo_001.pdf
"Midwest Title & Escrow, LLC",Failure  to enter Transactions into the RREAL IN,2015-09-24,$6775  administrative penalty,14362-AG15-0826-234,https://www.in.gov/idoi/files/enforcement/14362-AG15-0826-234.pdf
"Millenium Title, Inc",Failure to Report,2012-10-16,$896 Civil Penalty,11082-AG12-0529-058,https://www.in.gov/idoi/files/enforcement/11082%20millennium%20title%20fo.pdf
"MIS Abstract Agency of Pennsylvania,  Inc",Unlicensed  Individual,2015-04-17,"Fine  $2,770",12741-AG14-0916-166,https://www.in.gov/idoi/files/enforcement/12741-AG14-0916-166.pdf
"Mjohnson Insurance Agency, Inc",Surplus  Lines Tax Violation,2015-04-02,Suspension  Lifted,13752-AG15-0303-069,https://www.in.gov/idoi/files/enforcement/13752-AG15-0303-069b.pdf
Moloney Securities Co. Inc.,Failed  to Report Regulatory Actions,2017-05-25,"$1,000 Fine",16073-AG17-0411-074,https://www.in.gov/idoi/files/enforcement/16073-AG17-0411-074.pdf
"Monarch Benefits Group, Inc.",Failure to Respond/           No License,2006-01-18,Cease & Desist Order,1675-CO06-0113-001,https://www.in.gov/idoi/files/enforcement/1675-CO06-0113-001b.pdf
Moomaw Abstract Corporation,Failure to Submit List of Appointments.,2007-09-10,License Suspended,5612-AG07-0827-223,https://www.in.gov/idoi/files/enforcement/5612-AG07-0827-223b.pdf
"Mooser & Freibert Land Title Co., LLC",Failure to Submit List of Appointments.,2007-09-10,License  Suspended,5609-AG07-0827-225,https://www.in.gov/idoi/files/enforcement/5609-AG07-0827-225b.pdf
Motorists Mutual Insurance Company,Claim  Handling,2004-12-06,$1000.00  fine,1556-IDOI-CO04-007,https://www.in.gov/idoi/files/enforcement/1556-IDOI-CO04-007b.pdf
"Mull & Heinz, LLC",Licensing  Violation,2009-01-29,Civil  Penalty $500.00,6555-AG08-0519-299,https://www.in.gov/idoi/files/enforcement/6555-AG08-0519-299b.pdf
"MultiLines Financial Group, LLC",Failure  to Remit Premiums to Insurer,2010-12-21,"License  permanently Revoked/10,000.00 fine/$2145.88 Restitution",9171-AG10-0714-117,https://www.in.gov/idoi/files/enforcement/9171-AG10-0714-117b.pdf
MVP National Title Company,Unlicensed  Company,2014-12-19,"$1,778  Fine",13192-AG14-0915-163,https://www.in.gov/idoi/files/enforcement/13192%20MVP.pdf
"National Employee Benefit Companies, Inc.",No  License,2008-09-30,Indiana  Policyholder Restitution $527553.00,1492-AG06-0425-064,https://www.in.gov/idoi/files/enforcement/1492-AG06-0425-064b.pdf
"National Insurance Agency, Inc.",TPA Violation,2010-12-21,License Denial,9631-AD10-0827-028,https://www.in.gov/idoi/files/enforcement/9631%20nia%20inc%20fo_001.pdf
"National Network Agency, Inc. d/b/a MHC  Insurance Services",Criminal  Activity/expired license,2010-09-21,Nonrenewal  of License,9377-AG10-0811-129,https://www.in.gov/idoi/files/enforcement/9377-AG10-0811-129b.pdf
National Real Estate Information Services  of Indiana,Lack of  Fitness/Trustworthiness,2003-08-20,$1000.00  fine/1 year Probation,1115-IDOI-AG03-048,https://www.in.gov/idoi/files/enforcement/1115-IDOI-AG03-048b.pdf
"National Union Fire Insurance Company of  Pittsburgh, PA",Market Conduct Exam,2010-03-11,"$600,000 into Patient Compensation Fund",IDOI-MC07-0627-044,https://www.in.gov/idoi/files/enforcement/National%20Union%20Fire%20FO.pdf
"Nations Title Agency of Michigan, Inc.",Employed Non Licensed Individual,2010-09-27,"$1,000 Fine",8208-AG10-0913-141,https://www.in.gov/idoi/files/enforcement/8208%20title%20agency%20of%20MI%20_001.pdf
Nationwide Mutual Insurance Company,Unfair  Claims,2006-09-07,$1000.00  fine,3386-CO06-0829-007,https://www.in.gov/idoi/files/enforcement/3386-CO06-0829-007b.pdf
Neighborhood Adjusters Inc.,Failed  to maintain license in home state,2022-11-07,Suspension  order,21813-PA22-1103-005,https://www.in.gov/idoi/files/enforcement/21813-PA22-1103-005.pdf
North Central Life Insurance Company,Paying  commission to unlicensed producer,2004-05-21,"$53,000.00  fine",632-IDOI-CO03-024,https://www.in.gov/idoi/files/enforcement/632-IDOI-CO03-024b.pdf
North Pointe Insurance Company,Claim Handling,2012-01-27,"$25,000 Administrative Fine; $50,000 Restitution",10562-CO11-1221-015,https://www.in.gov/idoi/files/enforcement/10562%20n%20pointe%20fo_001.pdf
"Northwest Title Agency, Inc",Non-resident Desk Audit,2012-05-10,Suspension Order,11019-AG12-0507-012,https://www.in.gov/idoi/files/enforcement/11019%20nw%20title%20sus%20ordr_001.pdf
"NVR Title Agency, LLC",Lack of Fitness/Trustworthiness,2015-02-27,"Fine  $14,000",12960-AG14-1007-176,https://www.in.gov/idoi/files/enforcement/12960-AG14-1007-176.pdf
"OIG Title and Escrow, LLC","Employing  unlicensed personnel, not entering into RREAL IN, and not collecting TIEFF  fees",2015-01-30,$4131  Fine,13011-AG14-1028-196,https://www.in.gov/idoi/files/enforcement/13011%20oig%20title.pdf
"Old National Title of Louisville, LLC",Failure  to submit list of appointments,2007-09-10,License  Suspension,5644-AG07-0827-242,https://www.in.gov/idoi/files/enforcement/5644-AG07-0827-242b.pdf
"Onpoint Underwriting, Inc.",Surplus  Lines Tax Violation,2015-07-02,Suspension  Lifted,13698-AG15-0327-088,https://www.in.gov/idoi/files/enforcement/13698-AG15-0327-088b.pdf
Orchard Street Settlements LLC,Failure  to report RREAL IN,2019-03-08,$1920.00  Fine,17913-AG19-0204-015,https://www.in.gov/idoi/files/enforcement/17913-AG19-0204-015.pdf
"OTM Ins. Specialists, LLC",Failure  to timely report Other states action,2021-07-02,$750.00  Penalty,20412-AG21-0421-091,https://www.in.gov/idoi/files/enforcement/20412-AG21-0421-091.pdf
Owner Operator Resources Corp,No  License,2007-10-24,Cease  & Desist Order,3319-AG07-1022-279,https://www.in.gov/idoi/files/enforcement/3319-AG07-1022-279b.pdf
"Partyka, Maria T.",Misappropriation  of Premiums,2006-07-11,License  Permanently Revoked,3326-AG06-0323-044,https://www.in.gov/idoi/files/enforcement/3326-AG06-0323-044b.pdf
"Patriot Title, LLC",Claim  Handling,2006-03-14,$1500.00  Legal fees/$1565.82 Restitution,2893-AG06-1215-021,https://www.in.gov/idoi/files/enforcement/2893-AG06-1215-021b.pdf
Pennsylvania Life Insurance Co.,Failure  to Respond to Complaint.,2007-12-07,$500.00  fine,5635-CO07-0926-008,https://www.in.gov/idoi/files/enforcement/5635-CO07-0926-008b.pdf
"Perfomance Title, LLC",Failure  to enter real-estate transactions into the RREAL IN database,2016-10-21,"$1,000 Fine",15235-AG16-0909-175,https://www.in.gov/idoi/files/enforcement/15235-AG16-0909-175.pdf
"Pinnacle Steelement Services, LLC",Failure  to submit list of appointments,2007-09-10,License  Suspension,5655-AG07-0827-241,https://www.in.gov/idoi/files/enforcement/5655-AG07-0827-241b.pdf
"Poe & Associates, Inc.",Paid  Commission to Unappointed  Agent,2007-05-17,$1500.00  fine,3700-AG07-0419-120,https://www.in.gov/idoi/files/enforcement/3700-AG07-0419-120b.pdf
"Post Insurance Services, Inc.",Failure  to timely report Other states action,2021-01-11,$250.00  Civil Penalty,19878-AG20-1005-178,https://www.in.gov/idoi/files/enforcement/19878-AG20-1005-178.pdf
"Price Wise Insurance Service, LLC",Lack of  Fitness/Trustworthiness,2014-05-30,$250.00  fine,13021-AG14-0512-075,https://www.in.gov/idoi/files/enforcement/13021-AG14-0512-075b.pdf
"Priority Title & Escro, LLC",Failure  to report real estate transactions into RREAL within Statutorily required  time period,2022-05-09,$1880.00  Civil Penalty,21159-AG22-0218-031,https://www.in.gov/idoi/files/enforcement/21159-AG22-0218-031.pdf
"Prodigy Title Agency, LLC","Over  charging on premiums & Government fees, failing to collect TIEFF,  unlicensed, RREAL",2015-03-16,$7716  fine and $6086 refund to consumers,13445-AG15-0216-023,https://www.in.gov/idoi/files/enforcement/13445%20prodigy.pdf
"Professional Mailing Services, Inc.",No  License,2008-02-11,Emergency  Cease & Desist Order.,6355-AG08-0201-023,https://www.in.gov/idoi/files/enforcement/6355-AG08-0201-023b.pdf
"Prominent Title Agency, LLC",Failure  to report real estate Transactions into RREAL within Statutorily required  time period,2019-05-31,$7300.00  Civil penalty,18125-AG19-0510-067,https://www.in.gov/idoi/files/enforcement/18125-AG19-0510-067.pdf
"Proper Title, LLC",Failure  to enter Real Estate transactions into RREAL IN database,2022-02-23,$1754.00  Penalty,20367-AG21-1217-240,https://www.in.gov/idoi/files/enforcement/20367-AG21-1217-240.pdf
PW Development Corp. d/b/a AB-Solutions,Misappropriation  of Premiums,2009-09-02,License  permanently Revoked/$6000.00 Administrative fine/62872.98 Restitution,7207-AG09-0304-053,https://www.in.gov/idoi/files/enforcement/7207-AG09-0304-053c.pdf
